loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment,Good vs Bad Loan
Charged Off,5/13/2021,1314167,Car,C4, 60 months,Source Verified,30000,0.01,59.83,0.1527,2500,4,1009,Bad Loan
Fully Paid,2/15/2021,1288686,Car,E1, 36 months,Source Verified,48000,0.0535,109.43,0.1864,3000,4,3939,Good Loan
Charged Off,2/9/2021,1304116,Car,C5, 36 months,Not Verified,50000,0.2088,421.65,0.1596,12000,11,3522,Bad Loan
Fully Paid,4/12/2021,1272024,Car,B2, 60 months,Source Verified,42000,0.054,97.06,0.1065,4500,9,4911,Good Loan
Fully Paid,2/15/2021,1302971,Car,A1, 36 months,Verified,83000,0.0231,106.53,0.0603,3500,28,3835,Good Loan
Fully Paid,9/12/2021,1294481,Car,C3, 36 months,Not Verified,28000,0.126,275.96,0.1465,8000,11,8637,Good Loan
Fully Paid,1/13/2022,1301833,Car,C2, 36 months,Verified,94800,0.2453,205.86,0.1427,6000,30,7218,Good Loan
Fully Paid,8/14/2021,1291243,Car,A4, 36 months,Source Verified,59000,0.0665,172.1,0.079,5500,23,6172,Good Loan
Charged Off,11/12/2021,1299335,Car,A5, 36 months,Verified,116400,0.0394,762.08,0.089,24000,31,8650,Bad Loan
Fully Paid,4/16/2021,1298401,Car,B5, 60 months,Not Verified,36000,0.1773,93.21,0.1269,4125,21,5551,Good Loan
Fully Paid,9/13/2021,1289131,Car,B5, 36 months,Not Verified,75000,0.088,181.15,0.1269,5400,33,6277,Good Loan
Charged Off,11/12/2021,1295018,Car,B4, 36 months,Not Verified,75000,0.2288,374.26,0.1242,11200,13,4225,Bad Loan
Fully Paid,10/13/2021,1294929,Car,B3, 36 months,Not Verified,35000,0.0401,165.38,0.1171,5000,3,5728,Good Loan
Fully Paid,1/14/2022,1249642,Car,B5, 36 months,Not Verified,48000,0.1533,268.36,0.1269,8000,15,9661,Good Loan
Fully Paid,1/14/2022,1293124,Car,B4, 36 months,Not Verified,92000,0.106,200.5,0.1242,6000,18,7218,Good Loan
Charged Off,11/13/2021,1292578,Car,B4, 36 months,Source Verified,60000,0.063,400.99,0.1242,12000,14,9547,Bad Loan
Fully Paid,1/14/2022,1277552,Car,B1, 36 months,Verified,16800,0.035,98.29,0.0991,3050,8,3538,Good Loan
Fully Paid,12/12/2021,1291775,Car,C2, 36 months,Source Verified,40000,0.1869,343.09,0.1427,10000,7,11156,Good Loan
Fully Paid,1/14/2022,1291322,Car,B2, 36 months,Verified,35000,0.1392,162.87,0.1065,5000,23,5863,Good Loan
Fully Paid,3/15/2021,1289636,Car,D1, 36 months,Not Verified,40000,0.0957,176.51,0.1629,5000,13,6361,Good Loan
Fully Paid,9/10/2021,112227,Car,A2, 36 months,Not Verified,40000,0.0255,155.38,0.0743,5000,7,5594,Good Loan
Charged Off,3/10/2021,183496,Car,A2, 36 months,Not Verified,120000,0.0767,69.14,0.0743,2225,20,2508,Bad Loan
Charged Off,7/11/2021,232106,Car,B1, 36 months,Not Verified,60000,0.1108,131.22,0.1114,4000,33,2755,Bad Loan
Charged Off,9/8/2021,211606,Car,C2, 36 months,Not Verified,72000,0.0512,262.26,0.1109,8000,8,2135,Bad Loan
Charged Off,9/12/2021,847024,Car,A5, 36 months,Not Verified,70800,0.0795,77.95,0.0766,2500,39,1479,Bad Loan
Charged Off,7/13/2021,1233120,Car,A3, 36 months,Not Verified,80000,0.0648,124.45,0.0751,4000,11,2479,Bad Loan
Charged Off,1/9/2022,454145,Car,A5, 36 months,Not Verified,36000,0.15,385.14,0.0963,12000,24,2306,Bad Loan
Charged Off,3/12/2021,544784,Car,A5, 36 months,Not Verified,45000,0.152,222.41,0.0894,7000,24,6446,Bad Loan
Charged Off,11/13/2021,843127,Car,A5, 36 months,Not Verified,86400,0.0385,280.62,0.0766,9000,10,8945,Bad Loan
Charged Off,8/12/2021,985412,Car,A5, 36 months,Not Verified,24600,0.0785,152.42,0.089,4800,21,1978,Bad Loan
Charged Off,8/10/2021,570309,Car,B2, 36 months,Not Verified,30000,0.0992,164.85,0.1148,5000,19,884,Bad Loan
Charged Off,2/13/2021,942813,Car,B4, 36 months,Not Verified,48000,0.2357,197.83,0.1149,6000,27,3950,Bad Loan
Charged Off,1/13/2022,1255647,Car,C3, 36 months,Not Verified,60000,0.0366,217.32,0.1465,6300,10,5554,Bad Loan
Charged Off,8/12/2021,624878,Car,D4, 36 months,Not Verified,34000,0.1486,210.07,0.157,6000,6,5986,Bad Loan
Charged Off,9/11/2021,671773,Car,A5, 36 months,Not Verified,18000,0.216,148.59,0.0788,4750,16,2216,Bad Loan
Charged Off,11/11/2021,593245,Car,A1, 36 months,Not Verified,43800,0.0737,148.32,0.0705,4800,7,3210,Bad Loan
Charged Off,2/11/2021,432187,Car,B4, 36 months,Not Verified,98736,0.0812,50.58,0.1189,9000,19,1045,Bad Loan
Charged Off,8/13/2021,920793,Car,B4, 36 months,Not Verified,48000,0.051,60.34,0.1074,1850,45,1655,Bad Loan
Charged Off,11/9/2021,506847,Car,C2, 36 months,Not Verified,27852,0.1021,141.2,0.1284,4200,28,282,Bad Loan
Charged Off,3/12/2021,986688,Car,A4, 36 months,Not Verified,48000,0.2585,186.61,0.0749,6000,16,1575,Bad Loan
Charged Off,11/13/2021,1190684,Car,A5, 36 months,Not Verified,30000,0.1872,228.63,0.089,7200,25,5845,Bad Loan
Charged Off,12/13/2021,975126,Car,A5, 36 months,Not Verified,22800,0.0526,75.76,0.0849,2400,3,2278,Bad Loan
Charged Off,12/10/2021,596856,Car,A1, 36 months,Not Verified,12720,0,231.75,0.0705,7500,9,2073,Bad Loan
Charged Off,4/11/2021,633723,Car,B5, 36 months,Not Verified,31000,0.0159,182.66,0.1136,5550,5,2083,Bad Loan
Charged Off,8/11/2021,571361,Car,B2, 36 months,Not Verified,89650,0.0056,725.31,0.1148,22000,19,15424,Bad Loan
Charged Off,7/12/2021,942003,Car,B5, 36 months,Not Verified,45000,0.1464,332.1,0.1199,10000,18,4553,Bad Loan
Charged Off,4/11/2021,416412,Car,B1, 36 months,Not Verified,39996,0.2298,261.71,0.1095,8000,43,6197,Bad Loan
Charged Off,1/11/2022,656002,Car,B4, 36 months,Not Verified,49800,0.174,163.68,0.1099,5000,13,3110,Bad Loan
Charged Off,11/11/2021,446914,Car,B5, 36 months,Not Verified,15000,0.1688,106.61,0.1221,3200,19,3140,Bad Loan
Charged Off,10/9/2021,366581,Car,C3, 36 months,Not Verified,48000,0.1753,200.47,0.1241,6000,14,5104,Bad Loan
Charged Off,9/10/2021,290796,Car,C2, 36 months,Not Verified,37440,0.0772,98.7,0.1134,3000,14,2798,Bad Loan
Charged Off,6/13/2021,1059380,Car,C3, 36 months,Not Verified,105000,0.135,382.74,0.1399,11200,29,8037,Bad Loan
Charged Off,9/10/2021,371139,Car,D2, 36 months,Not Verified,15000,0.14,136.08,0.1367,4000,13,2685,Bad Loan
Charged Off,4/14/2021,1275383,Car,D2, 36 months,Not Verified,59100,0.1287,106.62,0.1677,3000,13,2772,Bad Loan
Charged Off,11/13/2021,930853,Car,B2, 36 months,Not Verified,126000,0.1529,193.61,0.1,6000,22,5796,Bad Loan
Fully Paid,5/8/2021,125914,Car,A4, 36 months,Not Verified,173000,0.0072,313.67,0.0807,10000,41,10435,Good Loan
Fully Paid,11/10/2021,260821,Car,A5, 36 months,Not Verified,60000,0.0894,316.28,0.0863,10000,27,11340,Good Loan
Fully Paid,6/10/2021,188654,Car,B2, 36 months,Not Verified,40000,0.1872,257.24,0.0976,8000,35,9149,Good Loan
Fully Paid,3/11/2021,243089,Car,B2, 36 months,Not Verified,200000,0.0484,192.93,0.0976,6000,22,6945,Good Loan
Fully Paid,3/11/2021,225530,Car,E1, 36 months,Not Verified,72000,0.2257,170.72,0.1393,5000,44,6146,Good Loan
Fully Paid,10/10/2021,253715,Car,A5, 36 months,Not Verified,10000,0,142.33,0.0863,4500,6,5096,Good Loan
Fully Paid,3/10/2021,188466,Car,A4, 36 months,Not Verified,62000,0.1407,345.06,0.0807,11000,23,12247,Good Loan
Fully Paid,5/10/2021,167318,Car,A1, 36 months,Not Verified,28800,0,108.27,0.0712,3500,5,3863,Good Loan
Fully Paid,10/10/2021,219037,Car,B5, 36 months,Not Verified,50000,0.0506,194.91,0.1046,6000,21,6982,Good Loan
Fully Paid,2/11/2021,218997,Car,B1, 36 months,Not Verified,37000,0.1674,175.42,0.092,5500,36,6320,Good Loan
Fully Paid,4/11/2021,281309,Car,C3, 36 months,Not Verified,54263,0.1238,115.69,0.1166,3500,23,4164,Good Loan
Fully Paid,9/10/2021,120227,Car,C3, 36 months,Not Verified,18000,0.18,130.79,0.1091,4000,5,4708,Good Loan
Fully Paid,7/10/2021,253974,Car,C1, 36 months,Not Verified,41000,0.1692,98.26,0.1103,3000,16,3498,Good Loan
Fully Paid,11/12/2021,553755,Car,A2, 36 months,Not Verified,85000,0.0239,136.66,0.074,4400,19,4920,Good Loan
Fully Paid,6/12/2021,446077,Car,A2, 36 months,Not Verified,28500,0.0223,265.13,0.0768,8500,10,9544,Good Loan
Fully Paid,3/11/2021,394401,Car,A2, 36 months,Not Verified,40308,0.0578,155.96,0.0768,5000,19,5422,Good Loan
Fully Paid,11/14/2021,1195796,Car,A2, 36 months,Not Verified,149400,0.0994,214.93,0.0662,7000,43,7737,Good Loan
Fully Paid,7/14/2021,950147,Car,A2, 36 months,Not Verified,54000,0.1129,60.84,0.0599,2000,18,2190,Good Loan
Fully Paid,6/14/2021,943695,Car,A3, 36 months,Not Verified,38400,0.0319,74.1,0.0699,2400,7,2667,Good Loan
Fully Paid,7/14/2021,978223,Car,A4, 36 months,Not Verified,60000,0.0242,149.29,0.0749,4800,6,5374,Good Loan
Fully Paid,2/14/2021,832879,Car,A4, 36 months,Not Verified,58000,0.2127,124.04,0.0729,4000,24,4466,Good Loan
Fully Paid,1/13/2022,803704,Car,A1, 36 months,Not Verified,31000,0.0283,241.28,0.0542,8000,17,8686,Good Loan
Fully Paid,9/11/2021,984370,Car,A1, 36 months,Not Verified,33600,0.0161,90.48,0.0542,3000,15,3014,Good Loan
Fully Paid,11/14/2021,1193520,Car,A1, 36 months,Not Verified,64320,0.025,243.49,0.0603,8000,17,8765,Good Loan
Fully Paid,8/14/2021,1001198,Car,A1, 36 months,Not Verified,79200,0.0218,150.8,0.0542,5000,28,5429,Good Loan
Fully Paid,5/14/2021,1082151,Car,A1, 36 months,Not Verified,63996,0.0651,96.52,0.0542,3200,26,3468,Good Loan
